priority_rank,school_id,school_name,region,priority_score,priority_category,risk_score,risk_level,regional_risk_score,regional_risk_level,problem_detected,recommended_intervention,intervention_priority,expected_improvement_range,assumption_basis,weak_subject_count,weak_subjects,weakest_subject,weakest_subject_gpa,weakest_subject_pass_rate,pass_rate_decline_score,subject_failure_score,trend_instability_score,data_quality,data_origin,scenario_origin
412,S4121,MCHOTEKA SECONDARY SCHOOL,RUVUMA,50.445579347826666,Medium,39.075500933273844,Moderate,13.15909616684323,Safe,7 weak subjects indicate a broad instructional challenge.,Teacher Development Program,Medium,Assumption-based scenario estimate: +3% to +8% pass rate,"Planning scenario only; the range is not a measured, causal, or guaranteed outcome.",7,"BASIC MATHEMATICS, BIOLOGY, CIVICS, ENGLISH LANGUAGE, GEOGRAPHY, HISTORY, PHYSICS",BASIC MATHEMATICS,4.775,12.5,19.275362318842827,47.48427672955975,57.06690995622929,Complete,observed-derived,assumption-based
413,S3436,CHAWI SECONDARY SCHOOL,MTWARA,50.417646847070465,Medium,38.03776482764708,Moderate,15.138119010705694,Safe,6 weak subjects indicate a broad instructional challenge.,Teacher Development Program,Medium,Assumption-based scenario estimate: +3% to +8% pass rate,"Planning scenario only; the range is not a measured, causal, or guaranteed outcome.",6,"BASIC MATHEMATICS, BIOLOGY, CIVICS, ENGLISH LANGUAGE, GEOGRAPHY, PHYSICS",BASIC MATHEMATICS,4.8302,9.433962264150944,31.47964250248402,47.57033248081841,37.249360274693174,Complete,observed-derived,assumption-based
414,S6010,ABOUD JUMBE MWINYI SECONDARY SCHOOL,MJINI MAGHARIBI,50.37903778339871,Medium,46.117258390707555,Moderate,28.296233037624745,Safe,8 weak subjects indicate a broad instructional challenge.,Teacher Development Program,Medium,Assumption-based scenario estimate: +3% to +8% pass rate,"Planning scenario only; the range is not a measured, causal, or guaranteed outcome.",8,"ARABIC LANGUAGE, BASIC MATHEMATICS, BIOLOGY, CIVICS, ENGLISH LANGUAGE, GEOGRAPHY, HISTORY, PHYSICS",BASIC MATHEMATICS,4.8761,7.339449541284404,25.509247302168593,44.600431965442766,75.1114329340243,Complete,observed-derived,assumption-based
415,S5706,MBUZINI UNGUJA SECONDARY SCHOOL,MJINI MAGHARIBI,50.352368722779595,Medium,33.95361190774776,Moderate,28.296233037624745,Safe,7 weak subjects indicate a broad instructional challenge.,Teacher Development Program,Medium,Assumption-based scenario estimate: +3% to +8% pass rate,"Planning scenario only; the range is not a measured, causal, or guaranteed outcome.",7,"ARABIC LANGUAGE, BASIC MATHEMATICS, BIOLOGY, CIVICS, ENGLISH LANGUAGE, GEOGRAPHY, HISTORY",BASIC MATHEMATICS,5.0,0.0,22.846029580434784,52.705061082024436,30.012272503221713,Complete,observed-derived,assumption-based
416,S2692,GONGONI SECONDARY SCHOOL,PWANI,50.33776787324433,Medium,34.22043693683305,Moderate,17.439754644711357,Safe,8 weak subjects indicate a broad instructional challenge.,Teacher Development Program,Medium,Assumption-based scenario estimate: +3% to +8% pass rate,"Planning scenario only; the range is not a measured, causal, or guaranteed outcome.",8,"BASIC MATHEMATICS, BIOLOGY, CHEMISTRY, CIVICS, ENGLISH LANGUAGE, GEOGRAPHY, HISTORY, PHYSICS",BASIC MATHEMATICS,5.0,0.0,19.150523916866984,55.03512880562061,33.498962428000254,Complete,observed-derived,assumption-based
417,S2782,NJIRO SECONDARY SCHOOL,ARUSHA,50.32020401049232,Medium,30.563790291787445,Moderate,10.147427954710333,Safe,7 weak subjects indicate a broad instructional challenge.,Teacher Development Program,Medium,Assumption-based scenario estimate: +3% to +8% pass rate,"Planning scenario only; the range is not a measured, causal, or guaranteed outcome.",7,"BASIC MATHEMATICS, BIOLOGY, BOOK-KEEPING, CIVICS, GEOGRAPHY, HISTORY, PHYSICS",BOOK-KEEPING,4.7222,27.77777777777778,22.655304514390227,40.508021390374324,31.164206896396855,Complete,observed-derived,assumption-based
418,S2013,MITEJA SECONDARY SCHOOL,LINDI,50.318711094971135,Medium,37.49725194806805,Moderate,12.84197949680209,Safe,7 weak subjects indicate a broad instructional challenge.,Teacher Development Program,Medium,Assumption-based scenario estimate: +3% to +8% pass rate,"Planning scenario only; the range is not a measured, causal, or guaranteed outcome.",7,"BASIC MATHEMATICS, BIOLOGY, CIVICS, ENGLISH LANGUAGE, GEOGRAPHY, HISTORY, PHYSICS",BASIC MATHEMATICS,4.9516,1.6129032258064515,23.726875041742517,61.12359550561798,32.2314109322855,Complete,observed-derived,assumption-based
419,S1475,PERFECT VISION SECONDARY SCHOOL,DAR ES SALAAM,50.318124999999995,Medium,43.10911804408872,Moderate,20.104661333212597,Safe,6 weak subjects indicate a broad instructional challenge.,Teacher Development Program,Medium,Assumption-based scenario estimate: +3% to +8% pass rate,"Planning scenario only; the range is not a measured, causal, or guaranteed outcome.",6,"BASIC MATHEMATICS, BIOLOGY, CIVICS, GEOGRAPHY, HISTORY, KISWAHILI",BASIC MATHEMATICS,5.0,0.0,0.0,63.38028169014084,80.31677845682157,Complete,observed-derived,assumption-based
420,S0339,OMUMWANI SECONDARY SCHOOL,KAGERA,50.297916666666666,Medium,14.872881355932202,Safe,12.691611547450492,Safe,7 weak subjects indicate a broad instructional challenge.,Teacher Development Program,Medium,Assumption-based scenario estimate: +3% to +8% pass rate,"Planning scenario only; the range is not a measured, causal, or guaranteed outcome.",7,"BASIC MATHEMATICS, CHEMISTRY, CIVICS, GEOGRAPHY, HISTORY, KISWAHILI, PHYSICS",BASIC MATHEMATICS,4.7143,20.0,0.0,49.57627118644068,0.0,Insufficient trend history,observed-derived,assumption-based
421,S4130,CHIKOLA SECONDARY SCHOOL,DODOMA,50.292823340746075,Medium,41.73838881094287,Moderate,15.43601814574629,Safe,6 weak subjects indicate a broad instructional challenge.,Teacher Development Program,Medium,Assumption-based scenario estimate: +3% to +8% pass rate,"Planning scenario only; the range is not a measured, causal, or guaranteed outcome.",6,"BASIC MATHEMATICS, BIOLOGY, CIVICS, ENGLISH LANGUAGE, HISTORY, PHYSICS",BIOLOGY,4.6981,28.30188679245283,40.39975623390397,41.60206718346253,43.65955387447509,Complete,observed-derived,assumption-based
422,S1417,NGIMU SECONDARY SCHOOL,SINGIDA,50.28989204693449,Medium,39.53114495535569,Moderate,16.00969834893016,Safe,6 weak subjects indicate a broad instructional challenge.,Teacher Development Program,Medium,Assumption-based scenario estimate: +3% to +8% pass rate,"Planning scenario only; the range is not a measured, causal, or guaranteed outcome.",6,"BASIC MATHEMATICS, BIOLOGY, CIVICS, ENGLISH LANGUAGE, GEOGRAPHY, PHYSICS",BASIC MATHEMATICS,4.6235,20.0,27.073456783483728,45.72317262830482,49.94936817823585,Complete,observed-derived,assumption-based
423,S3763,LENGO SECONDARY SCHOOL,MTWARA,50.2573428904428,Medium,33.9068268160993,Moderate,15.138119010705694,Safe,4 weak subjects indicate a broad instructional challenge.,Teacher Development Program,Medium,Assumption-based scenario estimate: +3% to +8% pass rate,"Planning scenario only; the range is not a measured, causal, or guaranteed outcome.",4,"BASIC MATHEMATICS, CIVICS, INFORMATION & COMPUTER STUDIES, PHYSICS",BASIC MATHEMATICS,4.9341,3.296703296703297,17.438117438117292,24.965893587994543,64.80603921484672,Complete,observed-derived,assumption-based
424,S2689,MFURU SECONDARY SCHOOL,PWANI,50.238924315068594,Medium,35.49797313691671,Moderate,17.439754644711357,Safe,8 weak subjects indicate a broad instructional challenge.,Teacher Development Program,Medium,Assumption-based scenario estimate: +3% to +8% pass rate,"Planning scenario only; the range is not a measured, causal, or guaranteed outcome.",8,"BASIC MATHEMATICS, BIOLOGY, CIVICS, ENGLISH LANGUAGE, GEOGRAPHY, HISTORY, LITERATURE IN ENGLISH, PHYSICS",BASIC MATHEMATICS,4.9726,2.73972602739726,0.0,59.852670349907925,58.473906773147775,Complete,observed-derived,assumption-based
425,S2346,NGWELO SECONDARY SCHOOL,TANGA,50.23316944444488,Medium,28.81213550913577,Safe,20.294586897484997,Safe,7 weak subjects indicate a broad instructional challenge.,Teacher Development Program,Medium,Assumption-based scenario estimate: +3% to +8% pass rate,"Planning scenario only; the range is not a measured, causal, or guaranteed outcome.",7,"BASIC MATHEMATICS, BIOLOGY, CIVICS, ENGLISH LANGUAGE, GEOGRAPHY, HISTORY, PHYSICS",BASIC MATHEMATICS,4.9206,6.349206349206349,19.0476190476203,44.2495126705653,26.394113629726874,Complete,observed-derived,assumption-based
426,S0895,MWAYA SECONDARY SCHOOL,MOROGORO,50.222770677973415,Medium,41.68374688592624,Moderate,15.95585882761668,Safe,9 weak subjects indicate a broad instructional challenge.,Teacher Development Program,Medium,Assumption-based scenario estimate: +3% to +8% pass rate,"Planning scenario only; the range is not a measured, causal, or guaranteed outcome.",9,"BASIC MATHEMATICS, BIOLOGY, CHEMISTRY, CIVICS, ENGLISH LANGUAGE, GEOGRAPHY, HISTORY, LITERATURE IN ENGLISH, PHYSICS",BASIC MATHEMATICS,4.9774,1.5037593984962405,4.31842607370676,66.96878147029204,66.21914005118643,Complete,observed-derived,assumption-based
427,S4273,DIONGOYA SECONDARY SCHOOL,MOROGORO,50.220187863722145,Medium,34.87418978028349,Moderate,15.95585882761668,Safe,7 weak subjects indicate a broad instructional challenge.,Teacher Development Program,Medium,Assumption-based scenario estimate: +3% to +8% pass rate,"Planning scenario only; the range is not a measured, causal, or guaranteed outcome.",7,"BASIC MATHEMATICS, BIOLOGY, CIVICS, ENGLISH LANGUAGE, GEOGRAPHY, HISTORY, PHYSICS",BASIC MATHEMATICS,4.8866,5.670103092783505,26.570537648180725,50.87108013937282,29.948835597331176,Complete,observed-derived,assumption-based
428,S4917,KIJELESHI SECONDARY SCHOOL,SIMIYU,50.2156219251328,Medium,34.01179696591321,Moderate,8.844839643051184,Safe,5 weak subjects indicate a broad instructional challenge.,Teacher Development Program,Medium,Assumption-based scenario estimate: +3% to +8% pass rate,"Planning scenario only; the range is not a measured, causal, or guaranteed outcome.",5,"BASIC MATHEMATICS, CIVICS, ENGLISH LANGUAGE, GEOGRAPHY, HISTORY",CIVICS,4.4118,48.23529411764706,13.618538324418106,35.77106518282989,59.44354027099001,Complete,observed-derived,assumption-based
429,S4804,UNBERKANT SECONDARY SCHOOL,RUVUMA,50.21419845847436,Medium,37.93306572042986,Moderate,13.15909616684323,Safe,7 weak subjects indicate a broad instructional challenge.,Teacher Development Program,Medium,Assumption-based scenario estimate: +3% to +8% pass rate,"Planning scenario only; the range is not a measured, causal, or guaranteed outcome.",7,"BASIC MATHEMATICS, BIOLOGY, CIVICS, ENGLISH LANGUAGE, GEOGRAPHY, HISTORY, PHYSICS",BASIC MATHEMATICS,4.902,5.88235294117647,31.297391683946618,47.51958224543081,37.19411457740655,Complete,observed-derived,assumption-based
430,S1440,TIRAV SECONDARY SCHOOL,DAR ES SALAAM,50.212013888888876,Medium,39.20197253085401,Moderate,20.104661333212597,Safe,8 weak subjects indicate a broad instructional challenge.,Teacher Development Program,Medium,Assumption-based scenario estimate: +3% to +8% pass rate,"Planning scenario only; the range is not a measured, causal, or guaranteed outcome.",8,"BASIC MATHEMATICS, BIOLOGY, CHEMISTRY, CIVICS, ENGLISH LANGUAGE, GEOGRAPHY, HISTORY, PHYSICS",BASIC MATHEMATICS,5.0,0.0,0.0,80.1556420233463,50.517599746167065,Complete,observed-derived,assumption-based
431,S4716,ITONGO SECONDARY SCHOOL,KAGERA,50.18351134808226,Medium,37.33070519103289,Moderate,12.691611547450492,Safe,5 weak subjects indicate a broad instructional challenge.,Teacher Development Program,Medium,Assumption-based scenario estimate: +3% to +8% pass rate,"Planning scenario only; the range is not a measured, causal, or guaranteed outcome.",5,"BASIC MATHEMATICS, BIOLOGY, CIVICS, ENGLISH LANGUAGE, HISTORY",BASIC MATHEMATICS,4.76,14.666666666666666,37.805520098328024,35.85069444444444,38.17762939456117,Complete,observed-derived,assumption-based
432,S2753,MISITU SECONDARY SCHOOL,DAR ES SALAAM,50.17079283567562,Medium,34.28963040026954,Moderate,20.104661333212597,Safe,9 weak subjects indicate a broad instructional challenge.,Teacher Development Program,Medium,Assumption-based scenario estimate: +3% to +8% pass rate,"Planning scenario only; the range is not a measured, causal, or guaranteed outcome.",9,"BASIC MATHEMATICS, BIOLOGY, BOOK-KEEPING, CIVICS, ELIMU YA DINI YA KIISLAMU, ENGLISH LANGUAGE, GEOGRAPHY, HISTORY, PHYSICS",BIOLOGY,4.7511,21.58590308370044,7.694253999951489,54.20432758148452,49.83543508614528,Complete,observed-derived,assumption-based
433,S2946,MSALE SECONDARY SCHOOL,TANGA,50.15145000000103,Medium,41.891565014505474,Moderate,20.294586897484997,Safe,6 weak subjects indicate a broad instructional challenge.,Teacher Development Program,Medium,Assumption-based scenario estimate: +3% to +8% pass rate,"Planning scenario only; the range is not a measured, causal, or guaranteed outcome.",6,"BASIC MATHEMATICS, BIOLOGY, CHEMISTRY, CIVICS, HISTORY, PHYSICS",BASIC MATHEMATICS,5.0,0.0,18.00000000000381,40.38461538461539,75.25393466373113,Complete,observed-derived,assumption-based
434,S2826,KIPAGALO SECONDARY SCHOOL,NJOMBE,50.12899768605476,Medium,33.945219160525994,Moderate,11.733623151058401,Safe,7 weak subjects indicate a broad instructional challenge.,Teacher Development Program,Medium,Assumption-based scenario estimate: +3% to +8% pass rate,"Planning scenario only; the range is not a measured, causal, or guaranteed outcome.",7,"BASIC MATHEMATICS, BIOLOGY, CHEMISTRY, CIVICS, ENGLISH LANGUAGE, HISTORY, PHYSICS",BASIC MATHEMATICS,4.8205,12.82051282051282,27.677454659164418,40.625,35.62245765620075,Complete,observed-derived,assumption-based
435,S2741,SINGISA SECONDARY SCHOOL,MOROGORO,50.11958333333334,Medium,40.36362463079164,Moderate,15.95585882761668,Safe,8 weak subjects indicate a broad instructional challenge.,Teacher Development Program,Medium,Assumption-based scenario estimate: +3% to +8% pass rate,"Planning scenario only; the range is not a measured, causal, or guaranteed outcome.",8,"BASIC MATHEMATICS, BIOLOGY, CHEMISTRY, CIVICS, ENGLISH LANGUAGE, GEOGRAPHY, HISTORY, PHYSICS",BASIC MATHEMATICS,5.0,0.0,0.0,71.27659574468085,63.2688196912913,Complete,observed-derived,assumption-based
436,S4015,IRINGA UMMU-SALAMA SECONDARY SCHOOL,IRINGA,50.06354166666773,Medium,31.03108091040911,Moderate,12.684959143067804,Safe,4 weak subjects indicate a broad instructional challenge.,Teacher Development Program,Medium,Assumption-based scenario estimate: +3% to +8% pass rate,"Planning scenario only; the range is not a measured, causal, or guaranteed outcome.",4,"BASIC MATHEMATICS, CIVICS, HISTORY, PHYSICS",BASIC MATHEMATICS,4.7619,19.047619047619047,28.571428571430417,26.486486486486484,38.85521178630333,Complete,observed-derived,assumption-based
437,S4253,FUNDO SECONDARY SCHOOL,KASKAZINI PEMBA,50.05580357142857,Medium,40.95637151493538,Moderate,31.490757867177578,Moderate,8 weak subjects indicate a broad instructional challenge.,Teacher Development Program,Medium,Assumption-based scenario estimate: +3% to +8% pass rate,"Planning scenario only; the range is not a measured, causal, or guaranteed outcome.",8,"ARABIC LANGUAGE, BASIC MATHEMATICS, BIOLOGY, CIVICS, ELIMU YA DINI YA KIISLAMU, ENGLISH LANGUAGE, GEOGRAPHY, HISTORY",BASIC MATHEMATICS,5.0,0.0,0.0,68.65203761755485,67.86920076556308,Complete,observed-derived,assumption-based
438,S5222,UPENJA SECONDARY SCHOOL,KASKAZINI UNGUJA,50.021908783783786,Medium,39.20485587628713,Moderate,31.980911441841236,Moderate,9 weak subjects indicate a broad instructional challenge.,Teacher Development Program,Medium,Assumption-based scenario estimate: +3% to +8% pass rate,"Planning scenario only; the range is not a measured, causal, or guaranteed outcome.",9,"ARABIC LANGUAGE, BASIC MATHEMATICS, BIOLOGY, CHEMISTRY, CIVICS, ELIMU YA DINI YA KIISLAMU, ENGLISH LANGUAGE, GEOGRAPHY, HISTORY",BASIC MATHEMATICS,5.0,0.0,0.0,64.95468277945619,65.7281701415009,Complete,observed-derived,assumption-based
439,S5358,NANDONDE SECONDARY SCHOOL,MTWARA,50.0208208240124,Medium,27.172854404663134,Safe,15.138119010705694,Safe,5 weak subjects indicate a broad instructional challenge.,Teacher Development Program,Medium,Assumption-based scenario estimate: +3% to +8% pass rate,"Planning scenario only; the range is not a measured, causal, or guaranteed outcome.",5,"BASIC MATHEMATICS, BIOLOGY, BOOK-KEEPING, CIVICS, ENGLISH LANGUAGE",BASIC MATHEMATICS,4.75,12.5,16.456935123042907,33.42082239720034,35.21277878761956,Complete,observed-derived,assumption-based
440,S6059,BUYUNI ZAVALA SECONDARY SCHOOL,DAR ES SALAAM,50.01317822085933,Medium,35.277679474894256,Moderate,20.104661333212597,Safe,8 weak subjects indicate a broad instructional challenge.,Teacher Development Program,Medium,Assumption-based scenario estimate: +3% to +8% pass rate,"Planning scenario only; the range is not a measured, causal, or guaranteed outcome.",8,"BASIC MATHEMATICS, BIOLOGY, CIVICS, ELIMU YA DINI YA KIISLAMU, ENGLISH LANGUAGE, GEOGRAPHY, HISTORY, PHYSICS",BASIC MATHEMATICS,4.8405,7.975460122699387,0.0,63.33078686019862,54.261478056115564,Complete,observed-derived,assumption-based
441,S2414,MIZINGANI SECONDARY SCHOOL,KUSINI PEMBA,49.97453953488379,Medium,31.936106655026506,Moderate,29.748407031979866,Safe,8 weak subjects indicate a broad instructional challenge.,Teacher Development Program,Medium,Assumption-based scenario estimate: +3% to +8% pass rate,"Planning scenario only; the range is not a measured, causal, or guaranteed outcome.",8,"ARABIC LANGUAGE, BASIC MATHEMATICS, BIOLOGY, CIVICS, ELIMU YA DINI YA KIISLAMU, ENGLISH LANGUAGE, GEOGRAPHY, HISTORY",BASIC MATHEMATICS,5.0,0.0,0.0,72.62872628726288,33.82496256282549,Complete,observed-derived,assumption-based
442,S6569,KOLWA SECONDARY SCHOOL,PWANI,49.94880952380952,Medium,16.659836065573767,Safe,17.439754644711357,Safe,7 weak subjects indicate a broad instructional challenge.,Teacher Development Program,Medium,Assumption-based scenario estimate: +3% to +8% pass rate,"Planning scenario only; the range is not a measured, causal, or guaranteed outcome.",7,"BASIC MATHEMATICS, BIOLOGY, CIVICS, ENGLISH LANGUAGE, GEOGRAPHY, HISTORY, PHYSICS",BASIC MATHEMATICS,4.873,7.142857142857142,0.0,55.5327868852459,0.0,Insufficient trend history,observed-derived,assumption-based
443,S4546,UKUNE SECONDARY SCHOOL,SHINYANGA,49.937841636419115,Medium,13.184690760190996,Safe,13.63569660813777,Safe,Latest mathematics performance meets the weak-subject threshold.,Mathematics Tutoring Program,Medium,Assumption-based scenario estimate: +5% to +12% pass rate,"Planning scenario only; the range is not a measured, causal, or guaranteed outcome.",2,"BASIC MATHEMATICS, HISTORY",BASIC MATHEMATICS,4.4681,31.914893617021278,0.0,14.857142857142861,29.091826343493793,Complete,observed-derived,assumption-based
444,S5119,NGAZI SECONDARY SCHOOL,TANGA,49.8788121376193,Medium,28.724224929030388,Safe,20.294586897484997,Safe,8 weak subjects indicate a broad instructional challenge.,Teacher Development Program,Medium,Assumption-based scenario estimate: +3% to +8% pass rate,"Planning scenario only; the range is not a measured, causal, or guaranteed outcome.",8,"BASIC MATHEMATICS, BIOLOGY, CHEMISTRY, CIVICS, ENGLISH LANGUAGE, GEOGRAPHY, HISTORY, PHYSICS",BASIC MATHEMATICS,4.9063,7.8125,7.8544142507957035,42.69230769230769,42.58255640339932,Complete,observed-derived,assumption-based
445,S1917,DORETA SECONDARY SCHOOL,DODOMA,49.87458333333332,Medium,21.25984251968504,Safe,15.43601814574629,Safe,11 weak subjects indicate a broad instructional challenge.,Teacher Development Program,Medium,Assumption-based scenario estimate: +3% to +8% pass rate,"Planning scenario only; the range is not a measured, causal, or guaranteed outcome.",11,"BASIC MATHEMATICS, BIOLOGY, BOOK-KEEPING, CHEMISTRY, CIVICS, COMMERCE, ENGLISH LANGUAGE, GEOGRAPHY, HISTORY, KISWAHILI, PHYSICS",COMMERCE,5.0,0.0,0.0,70.86614173228347,0.0,Insufficient trend history,observed-derived,assumption-based
446,S5840,NKONGORE SECONDARY SCHOOL,MARA,49.80549679487179,Medium,30.334151975694773,Moderate,14.728177735991629,Safe,7 weak subjects indicate a broad instructional challenge.,Teacher Development Program,Medium,Assumption-based scenario estimate: +3% to +8% pass rate,"Planning scenario only; the range is not a measured, causal, or guaranteed outcome.",7,"BASIC MATHEMATICS, BIOLOGY, CIVICS, ENGLISH LANGUAGE, GEOGRAPHY, HISTORY, PHYSICS",BASIC MATHEMATICS,4.641,15.384615384615385,0.0,53.41296928327645,47.70087063570613,Complete,observed-derived,assumption-based
447,S2853,KAHEUSSERI SECONDARY SCHOOL,KILIMANJARO,49.80106880395763,Medium,31.846673302059976,Moderate,12.807062794844985,Safe,7 weak subjects indicate a broad instructional challenge.,Teacher Development Program,Medium,Assumption-based scenario estimate: +3% to +8% pass rate,"Planning scenario only; the range is not a measured, causal, or guaranteed outcome.",7,"BASIC MATHEMATICS, BIOLOGY, CIVICS, ENGLISH LANGUAGE, GEOGRAPHY, HISTORY, PHYSICS",PHYSICS,4.8947,10.526315789473683,24.75026353635443,36.63594470046083,36.51928159126651,Complete,observed-derived,assumption-based
448,S4711,KIDAHWE SECONDARY SCHOOL,KIGOMA,49.78109105839417,Medium,32.25561291352468,Moderate,15.6157062435702,Safe,9 weak subjects indicate a broad instructional challenge.,Teacher Development Program,Medium,Assumption-based scenario estimate: +3% to +8% pass rate,"Planning scenario only; the range is not a measured, causal, or guaranteed outcome.",9,"BASIC MATHEMATICS, BIOLOGY, CHEMISTRY, CIVICS, ELIMU YA DINI YA KIISLAMU, ENGLISH LANGUAGE, GEOGRAPHY, HISTORY, PHYSICS",BASIC MATHEMATICS,4.9562,3.64963503649635,0.0,62.247838616714695,45.27087109503425,Complete,observed-derived,assumption-based
449,S4876,KANAMA SECONDARY SCHOOL,MBEYA,49.722136363636146,Medium,34.1595124145977,Moderate,15.2299274586872,Safe,8 weak subjects indicate a broad instructional challenge.,Teacher Development Program,Medium,Assumption-based scenario estimate: +3% to +8% pass rate,"Planning scenario only; the range is not a measured, causal, or guaranteed outcome.",8,"BASIC MATHEMATICS, BOOK-KEEPING, CHEMISTRY, CIVICS, COMMERCE, GEOGRAPHY, LITERATURE IN ENGLISH, PHYSICS",BOOK-KEEPING,5.0,0.0,0.0,40.0516795865633,73.81336179542903,Limited trend history,observed-derived,assumption-based
450,S1951,CHIKOLE SECONDARY SCHOOL,DODOMA,49.70228720397206,Medium,28.519588020600033,Safe,15.43601814574629,Safe,5 weak subjects indicate a broad instructional challenge.,Teacher Development Program,Medium,Assumption-based scenario estimate: +3% to +8% pass rate,"Planning scenario only; the range is not a measured, causal, or guaranteed outcome.",5,"BASIC MATHEMATICS, BIOLOGY, CIVICS, ENGLISH LANGUAGE, GEOGRAPHY",BIOLOGY,4.6818,27.27272727272727,12.215304303537284,43.321299638989174,35.45692135829455,Complete,observed-derived,assumption-based
451,S2167,KINOLE SECONDARY SCHOOL,MOROGORO,49.6800462962963,Medium,38.30826253729155,Moderate,15.95585882761668,Safe,8 weak subjects indicate a broad instructional challenge.,Teacher Development Program,Medium,Assumption-based scenario estimate: +3% to +8% pass rate,"Planning scenario only; the range is not a measured, causal, or guaranteed outcome.",8,"BASIC MATHEMATICS, BIOLOGY, CHEMISTRY, CIVICS, ENGLISH LANGUAGE, GEOGRAPHY, HISTORY, PHYSICS",BASIC MATHEMATICS,4.9444,3.7037037037037033,0.0,66.58536585365854,61.10884260397995,Complete,observed-derived,assumption-based
452,S5647,PROF. JOYCE NDALICHAKO SECONDARY SCHOOL,KAGERA,49.66658079186535,Medium,36.79091603887285,Moderate,12.691611547450492,Safe,4 weak subjects indicate a broad instructional challenge.,Teacher Development Program,Medium,Assumption-based scenario estimate: +3% to +8% pass rate,"Planning scenario only; the range is not a measured, causal, or guaranteed outcome.",4,"BASIC MATHEMATICS, BIOLOGY, CIVICS, ENGLISH LANGUAGE",BASIC MATHEMATICS,4.8849,6.474820143884892,39.37784916399637,38.603297769156164,31.52929014175818,Complete,observed-derived,assumption-based
453,S4728,KIBOGWA SECONDARY SCHOOL,MOROGORO,49.640361842105264,Medium,41.5720222659931,Moderate,15.95585882761668,Safe,8 weak subjects indicate a broad instructional challenge.,Teacher Development Program,Medium,Assumption-based scenario estimate: +3% to +8% pass rate,"Planning scenario only; the range is not a measured, causal, or guaranteed outcome.",8,"BASIC MATHEMATICS, BIOLOGY, CHEMISTRY, CIVICS, ENGLISH LANGUAGE, GEOGRAPHY, HISTORY, PHYSICS",BASIC MATHEMATICS,5.0,0.0,0.0,72.85714285714286,65.71626469616747,Complete,observed-derived,assumption-based
454,S2957,KIDINDA SECONDARY SCHOOL,SIMIYU,49.61924325642191,Medium,27.347209565615344,Safe,8.844839643051184,Safe,5 weak subjects indicate a broad instructional challenge.,Teacher Development Program,Medium,Assumption-based scenario estimate: +3% to +8% pass rate,"Planning scenario only; the range is not a measured, causal, or guaranteed outcome.",5,"AGRICULTURE, BASIC MATHEMATICS, BIOLOGY, CIVICS, ENGLISH LANGUAGE",BASIC MATHEMATICS,4.467,26.41509433962264,21.74134497991654,32.62896208825357,29.539943157242185,Complete,observed-derived,assumption-based
455,S5930,MRISHO GAMBO SECONDARY SCHOOL,ARUSHA,49.61405549327351,Medium,15.991850192290784,Safe,10.147427954710333,Safe,Latest mathematics performance meets the weak-subject threshold.,Mathematics Tutoring Program,Medium,Assumption-based scenario estimate: +5% to +12% pass rate,"Planning scenario only; the range is not a measured, causal, or guaranteed outcome.",2,"BASIC MATHEMATICS, BOOK-KEEPING",BASIC MATHEMATICS,4.482,30.630630630630627,2.242152466367476,14.966740576496676,35.34989010931597,Limited trend history,observed-derived,assumption-based
456,S2440,MBUGA SECONDARY SCHOOL,DODOMA,49.61237647058885,Medium,37.094508997296046,Moderate,15.43601814574629,Safe,8 weak subjects indicate a broad instructional challenge.,Teacher Development Program,Medium,Assumption-based scenario estimate: +3% to +8% pass rate,"Planning scenario only; the range is not a measured, causal, or guaranteed outcome.",8,"BASIC MATHEMATICS, BIOLOGY, CHEMISTRY, CIVICS, ENGLISH LANGUAGE, GEOGRAPHY, HISTORY, PHYSICS",BASIC MATHEMATICS,4.9765,2.3529411764705883,21.17647058823669,45.63106796116505,49.78200124550618,Complete,observed-derived,assumption-based
457,S2661,LUNGUYA SECONDARY SCHOOL,SHINYANGA,49.5974114354563,Medium,34.95295321216706,Moderate,13.63569660813777,Safe,5 weak subjects indicate a broad instructional challenge.,Teacher Development Program,Medium,Assumption-based scenario estimate: +3% to +8% pass rate,"Planning scenario only; the range is not a measured, causal, or guaranteed outcome.",5,"BASIC MATHEMATICS, BIOLOGY, CIVICS, ENGLISH LANGUAGE, LITERATURE IN ENGLISH",BASIC MATHEMATICS,4.7094,15.384615384615385,31.27238677768481,39.76261127596439,35.05071706101274,Complete,observed-derived,assumption-based
458,S1832,MKOHA SECONDARY SCHOOL,RUVUMA,49.59171363000385,Medium,37.805776711388575,Moderate,13.15909616684323,Safe,7 weak subjects indicate a broad instructional challenge.,Teacher Development Program,Medium,Assumption-based scenario estimate: +3% to +8% pass rate,"Planning scenario only; the range is not a measured, causal, or guaranteed outcome.",7,"BASIC MATHEMATICS, BIOLOGY, CHEMISTRY, ENGLISH LANGUAGE, GEOGRAPHY, LITERATURE IN ENGLISH, PHYSICS",BASIC MATHEMATICS,5.0,0.0,12.388529463187718,40.74074074074075,68.76047567963754,Complete,observed-derived,assumption-based
